Date,Sentiment,Daily Change,Direction
16/08/2016,0,-1.979995,DOWN
17/08/2016,0.275,-0.369996,DOWN
18/08/2016,0,0.26999,UP
19/08/2016,0,1.490005,UP
20/08/2016,0,-1.0350035,DOWN
21/08/2016,0.275,-0.51750175,DOWN
22/08/2016,0.4,-0.51750175,DOWN
23/08/2016,0,1.910003,UP
24/08/2016,0.275,-2.220001,DOWN
25/08/2016,0,-1.659988,DOWN
26/08/2016,0.5,-0.970002,DOWN
27/08/2016,0,-2.395004,DOWN
28/08/2016,0.166666667,-1.197502,DOWN
29/08/2016,0,-1.197502,DOWN
30/08/2016,0.2,-3.860001,DOWN
31/08/2016,0.19125,0.669999,UP
01/09/2016,0.095833333,-11.239991,DOWN
02/09/2016,0,-2.990005,DOWN
03/09/2016,0.25,2.5250015,UP
04/09/2016,0,1.26250075,UP
05/09/2016,0,0.631250375,UP
06/09/2016,0,0.631250375,UP
07/09/2016,0,-1.119995,DOWN
08/09/2016,0,-4.350006,DOWN
09/09/2016,0.055694444,-2.89,DOWN
10/09/2016,-0.5,1.915001,UP
11/09/2016,0,0.9575005,UP
12/09/2016,0,0.9575005,UP
13/09/2016,0.147272727,-2.25,DOWN
14/09/2016,0.5,0.360001,UP
15/09/2016,0,4.009994,UP
16/09/2016,0.057142857,4.979996,UP
17/09/2016,0.282224026,0.470001,UP
18/09/2016,0,0.2350005,UP
19/09/2016,0.5,0.2350005,UP
20/09/2016,0,-1.699997,DOWN
21/09/2016,0.097111128,0.580002,UP
22/09/2016,0.087310606,1.209992,UP
23/09/2016,0.8,1.020004,UP
24/09/2016,0.418181818,0.770004,UP
25/09/2016,0,0.385002,UP
26/09/2016,0.030208333,0.385002,UP
27/09/2016,0.197727273,-3.180007,DOWN
28/09/2016,0.128736773,0.460006,UP
29/09/2016,0,-5.570007,DOWN
30/09/2016,0.25,3.330002,UP
01/10/2016,0,4.834999,UP
02/10/2016,0.345833333,2.4174995,UP
03/10/2016,0.068181818,2.4174995,UP
04/10/2016,-0.0125,-2.289993,DOWN
05/10/2016,0.0875,-2.949997,DOWN
06/10/2016,0.3,-7.460007,DOWN
07/10/2016,0.054166667,-4.389999,DOWN
08/10/2016,0,2.169998,UP
09/10/2016,0.13,1.084999,UP
10/10/2016,0.195833333,1.084999,UP
11/10/2016,0.318181818,-0.849991,DOWN
12/10/2016,0,1.409989,UP
13/10/2016,-0.088888889,-1.26999,DOWN
14/10/2016,0,-3.73001,DOWN
15/10/2016,0,-1.274994,DOWN
16/10/2016,0.1,-0.637497,DOWN
17/10/2016,0.090909091,-0.637497,DOWN
18/10/2016,0,5.139999,UP
19/10/2016,-0.025505051,4.459992,UP
20/10/2016,0.088999369,-4.459992,DOWN
21/10/2016,0.4,0.98999,UP
22/10/2016,-0.025,1.3349995,UP
23/10/2016,0.025,0.66749975,UP
24/10/2016,0.407727273,0.66749975,UP
25/10/2016,0,-0.419999,DOWN
26/10/2016,0.25,-0.099991,DOWN
27/10/2016,-0.03125,1.76999,UP
28/10/2016,0.093030303,-4.039994,DOWN
29/10/2016,0.025228475,-1.1200025,DOWN
30/10/2016,0,-0.56000125,DOWN
31/10/2016,0.1,-0.56000125,DOWN
01/11/2016,0,-6.940003,DOWN
02/11/2016,0,-2.769989,DOWN
03/11/2016,0.222777778,-0.600006,DOWN
04/11/2016,0.14029321,3.14,UP
05/11/2016,0.217687075,1.3250045,UP
06/11/2016,0,0.66250225,UP
07/11/2016,0.5,0.66250225,UP
08/11/2016,0.35,1.729995,UP
09/11/2016,-0.6,-4.880004,DOWN
10/11/2016,0.225,-4.709992,DOWN
11/11/2016,0,3.209992,UP
12/11/2016,0,-3.5550005,DOWN
13/11/2016,0,-1.77750025,DOWN
14/11/2016,0.285714286,-1.77750025,DOWN
15/11/2016,0.25,2.320007,UP
16/11/2016,-0.005462863,0.159989,UP
17/11/2016,0.193303571,4.730011,UP
18/11/2016,0,-3.64,DOWN
19/11/2016,0.170833333,-0.25,DOWN
20/11/2016,0,-0.125,DOWN
21/11/2016,0,-0.125,DOWN
22/11/2016,0.1,6.649994,UP
23/11/2016,0.066666667,1.970001,UP
24/11/2016,0.6,1.7549975,UP
25/11/2016,0,1.7549975,UP
26/11/2016,0,-0.2649995,DOWN
27/11/2016,0,-0.13249975,DOWN
28/11/2016,0.375,-0.13249975,DOWN
29/11/2016,0,-6.549988,DOWN
30/11/2016,0,-0.170013,DOWN
01/12/2016,0.1,-7.519989,DOWN
02/12/2016,0.2,-0.410004,DOWN
03/12/2016,0,2.665001,UP
04/12/2016,0,1.3325005,UP
05/12/2016,0,1.3325005,UP
06/12/2016,0,-0.949997,DOWN
07/12/2016,-0.108333333,7.299988,UP
08/12/2016,0,-0.860001,DOWN
09/12/2016,0,-0.11,DOWN
10/12/2016,0.090909091,0.125,UP
11/12/2016,0.230952381,0.0625,UP
12/12/2016,0,0.0625,UP
13/12/2016,0,5.720001,UP
14/12/2016,0,0.540008,UP
15/12/2016,0,-1.11,DOWN
16/12/2016,0,4.910003,UP
17/12/2016,-0.342857143,0.1199955,UP
18/12/2016,0.05,0.05999775,UP
19/12/2016,0,0.05999775,UP
20/12/2016,0,6.059997,UP
21/12/2016,0,-1.089996,DOWN
22/12/2016,-0.025,0.75,UP
23/12/2016,0.127678571,4.889999,UP
24/12/2016,0.091981793,3.0950015,UP
25/12/2016,0,1.54750075,UP
26/12/2016,0,0.773750375,UP
27/12/2016,0.8,0.773750375,UP
28/12/2016,0,0.210006,UP
29/12/2016,0.3,-5.060012,DOWN
30/12/2016,0.167045455,-0.989991,DOWN
31/12/2016,-0.086868687,1.6500015,UP
01/01/2017,0,0.82500075,UP
02/01/2017,0,0.412500375,UP
03/01/2017,0,0.412500375,UP
04/01/2017,0,10,UP
05/01/2017,-0.155555556,-0.240005,DOWN
06/01/2017,0,2.259995,UP
