Date,Daily Change,Sentiment
07/10/2016,-4.389999,0.054166667
08/10/2016,2.169998,0
09/10/2016,1.084999,0.13
10/10/2016,1.084999,0.195833333
11/10/2016,-0.849991,0.318181818
12/10/2016,1.409989,0
13/10/2016,-1.26999,-0.088888889
14/10/2016,-3.73001,0
15/10/2016,-1.274994,0
16/10/2016,-0.637497,0.1
17/10/2016,-0.637497,0.090909091
18/10/2016,5.139999,0
19/10/2016,4.459992,-0.025505051
20/10/2016,-4.459992,0.088999369
21/10/2016,0.98999,0.4
22/10/2016,1.3349995,-0.025
23/10/2016,0.66749975,0.025
24/10/2016,0.66749975,0.407727273
25/10/2016,-0.419999,0
26/10/2016,-0.099991,0.25
27/10/2016,1.76999,-0.03125
28/10/2016,-4.039994,0.093030303
29/10/2016,-1.1200025,0.025228475
30/10/2016,-0.56000125,0
31/10/2016,-0.56000125,0.1
01/11/2016,-6.940003,0
02/11/2016,-2.769989,0
03/11/2016,-0.600006,0.222777778
04/11/2016,3.14,0.14029321
05/11/2016,1.3250045,0.217687075
06/11/2016,0.66250225,0
07/11/2016,0.66250225,0.5
08/11/2016,1.729995,0.35
09/11/2016,-4.880004,-0.6
10/11/2016,-4.709992,0.225
11/11/2016,3.209992,0
12/11/2016,-3.5550005,0
13/11/2016,-1.77750025,0
14/11/2016,-1.77750025,0.285714286
15/11/2016,2.320007,0.25
16/11/2016,0.159989,-0.005462863
17/11/2016,4.730011,0.193303571
18/11/2016,-3.64,0
19/11/2016,-0.25,0.170833333
20/11/2016,-0.125,0
21/11/2016,-0.125,0
22/11/2016,6.649994,0.1
23/11/2016,1.970001,0.066666667
24/11/2016,1.7549975,0.6
25/11/2016,1.7549975,0
26/11/2016,-0.2649995,0
27/11/2016,-0.13249975,0
28/11/2016,-0.13249975,0.375
29/11/2016,-6.549988,0
30/11/2016,-0.170013,0
01/12/2016,-7.519989,0.1
02/12/2016,-0.410004,0.2
03/12/2016,2.665001,0
04/12/2016,1.3325005,0
05/12/2016,1.3325005,0
06/12/2016,-0.949997,0
07/12/2016,7.299988,-0.108333333
08/12/2016,-0.860001,0
09/12/2016,-0.11,0
10/12/2016,0.125,0.090909091
11/12/2016,0.0625,0.230952381
12/12/2016,0.0625,0
13/12/2016,5.720001,0
14/12/2016,0.540008,0
15/12/2016,-1.11,0
16/12/2016,4.910003,0
17/12/2016,0.1199955,-0.342857143
18/12/2016,0.05999775,0.05
19/12/2016,0.05999775,0
20/12/2016,6.059997,0
21/12/2016,-1.089996,0
22/12/2016,0.75,-0.025
23/12/2016,4.889999,0.127678571
24/12/2016,3.0950015,0.091981793
25/12/2016,1.54750075,0
26/12/2016,0.773750375,0
27/12/2016,0.773750375,0.8
28/12/2016,0.210006,0
29/12/2016,-5.060012,0.3
30/12/2016,-0.989991,0.167045455
31/12/2016,1.6500015,-0.086868687
01/01/2017,0.82500075,0
02/01/2017,0.412500375,0
03/01/2017,0.412500375,0
04/01/2017,10,0
05/01/2017,-0.240005,-0.155555556
06/01/2017,2.259995,0
07/01/2017,1.135002,0.3
08/01/2017,0.567501,0.108417508
09/01/2017,0.567501,0
10/01/2017,-1.410004,0.35
11/01/2017,-0.139999,0.21
12/01/2017,-0.14,0.197004913
13/01/2017,8.160004,0
14/01/2017,-1.084999,0.35
15/01/2017,-0.5424995,0
16/01/2017,-0.27124975,0.041666667
17/01/2017,-0.27124975,0
18/01/2017,2.779999,0.4
19/01/2017,5.399994,0.20842803
20/01/2017,0.970001,0
21/01/2017,2.095001,-0.003703704
22/01/2017,1.0475005,0.007700893
23/01/2017,1.0475005,0.1875
24/01/2017,5.690003,0.242708333
25/01/2017,-0.14,0.055357143
26/01/2017,-1.960006,0
27/01/2017,0.440002,0.370484007
28/01/2017,-1.159996,-0.00625
29/01/2017,-0.579998,0.191150794
30/01/2017,-0.579998,0.151190476
31/01/2017,1.299988,0
01/02/2017,-2.689988,0
02/02/2017,2.309998,0
03/02/2017,-0.220001,0
04/02/2017,3.2199935,0.104995332
05/02/2017,1.60999675,0.140343065
06/02/2017,1.60999675,0
07/02/2017,-0.289978,0.0375
08/02/2017,4.599976,0
09/02/2017,7.120025,0
10/02/2017,0.029999,-0.016666667
11/02/2017,5.6849975,0.15
12/02/2017,2.84249875,0
13/02/2017,2.84249875,0
14/02/2017,0.380005,0
15/02/2017,-1.220001,0.475
16/02/2017,-10.809998,0.333862434
