Sentiment,Previous,Direction
-0.013690476,-1,1
0.096428571,1,1
0.170625,1,1
0.05875,1,1
0,1,-1
0.08,-1,1
0.111658249,1,1
0.191912972,1,1
0,1,1
0.386111111,1,1
0,1,-1
0.150925926,-1,1
0.061038961,1,1
0.087347756,1,1
0.155305383,1,-1
0,-1,-1
0,-1,-1
0.215,-1,-1
-0.000416667,-1,1
0.159090909,1,1
0.171428571,1,-1
0.081870748,-1,-1
-0.075,-1,-1
0.25,-1,-1
0,-1,1
0.234375,1,1
-0.01096155,1,1
0.329166667,1,1
0.064646465,1,-1
0,-1,-1
0.116411565,-1,-1
0.003809524,-1,-1
0.375,-1,-1
0,-1,-1
0,-1,-1
0,-1,1
0,1,1
0.152366522,1,1
0.125,1,-1
0.04375,-1,1
-0.035119048,1,-1
0.125,-1,1
0.161372549,1,1
-0.072916667,1,1
-0.038958333,1,1
0,1,1
-0.007755102,1,1
0,1,1
0.101893939,1,-1
0.047767857,-1,1
0.162428977,1,1
0,1,1
0.110582812,1,1
0,1,-1
0.375,-1,1
0.175,1,-1
0.136805556,-1,-1
0.108571429,-1,-1
0,-1,-1
0.029662879,-1,-1
0.159484127,-1,-1
0.12,-1,-1
0.028571429,-1,1
0.04707215,1,-1
0.127335859,-1,-1
0.086365741,-1,-1
0.126190476,-1,1
0.082345086,1,1
0.160489511,1,-1
0.183636364,-1,1
0.05,1,-1
0.025,-1,-1
0.407954546,-1,-1
0.133333333,-1,-1
0,-1,-1
0.0775,-1,-1
0.021428571,-1,1
0.163071895,1,1
-0.01780303,1,1
0.328333333,1,1
0,1,1
0.047656566,1,1
0.213888889,1,1
0.166666667,1,1
0.25,1,-1
0,-1,-1
0.4,-1,-1
0.166071429,-1,1
0.152,1,1
0.080952381,1,1
0.15,1,-1
-0.007407407,-1,-1
0,-1,-1
-0.04025974,-1,-1
0.119375,-1,-1
0.073,-1,-1
0,-1,1
0.173611111,1,1
0.433333333,1,-1
0.198430736,-1,-1
0.16,-1,-1
0.06875,-1,1
0.015873016,1,1
0.273602694,1,-1
0.090151587,-1,1
0.08,1,1
0.073106061,1,1
0.154761905,1,1
0.25,1,1
0.004960318,1,-1
0.127777778,-1,-1
0.093981482,-1,-1
0.041666667,-1,1
0.5,1,1
0.128786713,1,1
0,1,-1
0.218641975,-1,-1
0.151111111,-1,-1
0.125,-1,1
0,1,-1
0.301428571,-1,-1
-0.05,-1,-1
0,-1,-1
-0.0125,-1,-1
0.136301587,-1,-1
0.165236742,-1,1
0,1,1
0,1,1
0.066666667,1,1
0.248862434,1,-1
0.036363636,-1,1
0.175,1,1
0.127490741,1,-1
0.116019625,-1,-1
0.098795996,-1,-1
0.061111111,-1,-1
0.071428571,-1,-1
0.104166667,-1,-1
0.275338685,-1,1
0.122222222,1,1
0.138029101,1,1
0,1,1
0.116666667,1,1
0.0078125,1,-1
0,-1,1
0.10452381,1,1
0,1,-1
0.051041667,-1,-1
0.05664338,-1,-1
0,-1,-1
-0.078958333,-1,-1
0.208630952,-1,1
0.201851852,1,1
0.354949495,1,-1
0.085714286,-1,-1
0.077777778,-1,-1
0.216666667,-1,-1
0.187898352,-1,1
0.233333333,1,1
0.28,1,1
0.280372768,1,1
0.033020353,1,1
-0.09,1,1
0.059161491,1,1
-0.022222222,1,-1
0.017,-1,1
0.198148148,1,-1
0.196339286,-1,1
0.058630952,1,-1
0.328571429,-1,-1
-0.002777778,-1,-1
0.36,-1,-1
0.121196581,-1,1
0.38125,1,-1
0.130270092,-1,-1
0.107535885,-1,-1
0.042346939,-1,-1
0.091071429,-1,-1
0.148383838,-1,1
0.18,1,-1
0,-1,1
0.112664956,1,-1
-0.025,-1,-1
-0.094318182,-1,-1
0.305,-1,-1
0.060501976,-1,1
0.10010101,1,-1
0.022222222,-1,-1
0.207291667,-1,-1
0.198214286,-1,1
0.140277778,1,1
0.043704546,1,1
0.1,1,-1
0.1,-1,-1
0,-1,1
0.131818182,1,1
0.283333333,1,1
0.059111111,1,1
0.100551532,1,1
0.132788691,1,-1
0.092371996,-1,-1
0.050135949,-1,-1
0.169261364,-1,-1
0.12979798,-1,-1
0.297321429,-1,-1
0.05,-1,-1
0,-1,1
0.083134921,1,-1
0.131994048,-1,-1
0.132780183,-1,-1
0.08921131,-1,-1
0.152083333,-1,-1
0,-1,-1
0.134895833,-1,-1
0,-1,-1
0.049248538,-1,1
0.128789006,1,-1
0.191666667,-1,-1
0.185084175,-1,-1
0.19424052,-1,-1
0.425,-1,-1
0.030151515,-1,1
